Line_Item_Id,Transaction_Id,Date,Customer_Id,Loyalty_Member,Product_Id,Product_Name,Category,Brand,Unit_Price,Quantity,Line_Total,Discount_Applied,Net_Amount,Payment_Method,Cashier_Id
LI000001,TXN10001,2025-12-01,C0076,TRUE,P014,Sambar Powder 200g,Spices,MTR,62,2,124,0,124,Card,EMP03
LI000002,TXN10001,2025-12-01,C0076,TRUE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,0,115,Cash,EMP01
LI000003,TXN10001,2025-12-01,C0076,TRUE,P015,Turmeric Powder 100g,Spices,Aachi,38,2,76,0,76,Cash,EMP03
LI000004,TXN10001,2025-12-01,C0076,TRUE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,2,356,17.8,338.2,Cash,EMP04
LI000005,TXN10001,2025-12-01,C0076,TRUE,P024,Biscuits Marie 200g,Snacks,Britannia,32,3,96,0,96,Cash,EMP03
LI000006,TXN10001,2025-12-01,C0076,TRUE,P006,Sunflower Oil 1L,Oils & Fats,Fortune,135,1,135,6.75,128.25,Cash,EMP02
LI000007,TXN10001,2025-12-01,C0076,TRUE,P005,Chana Dal 1kg,Staples,Local,98,3,294,0,294,Cash,EMP04
LI000008,TXN10002,2025-12-01,C0106,TRUE,P020,Coffee Powder 200g,Beverages,Bru,128,1,128,0,128,Cash,EMP01
LI000009,TXN10002,2025-12-01,C0106,TRUE,P016,Red Chilli Powder 200g,Spices,Aachi,55,3,165,0,165,Card,EMP04
LI000010,TXN10003,2025-12-01,C0003,FALSE,P015,Turmeric Powder 100g,Spices,Aachi,38,1,38,0,38,Cash,EMP02
LI000011,TXN10003,2025-12-01,C0003,FALSE,P008,Groundnut Oil 1L,Oils & Fats,Idhayam,178,1,178,0,178,Card,EMP02
LI000012,TXN10003,2025-12-01,C0003,FALSE,P020,Coffee Powder 200g,Beverages,Bru,128,4,512,0,512,Cash,EMP01
LI000013,TXN10003,2025-12-01,C0003,FALSE,P026,Namkeen Mix 250g,Snacks,Bikano,48,1,48,0,48,Card,EMP03
LI000014,TXN10003,2025-12-01,C0003,FALSE,P010,Full Cream Milk 500ml,Dairy,Aavin,32,2,64,0,64,Card,EMP04
LI000015,TXN10004,2025-12-01,C0070,FALSE,P012,Paneer 200g,Dairy,Heritage,75,1,75,0,75,UPI,EMP01
LI000016,TXN10004,2025-12-01,C0070,FALSE,P034,Detergent Powder 1kg,Household,Surf Excel,145,1,145,0,145,UPI,EMP01
LI000017,TXN10004,2025-12-01,C0070,FALSE,P019,Tea Powder 250g,Beverages,Red Label,115,1,115,0,115,UPI,EMP02
LI000018,TXN10004,2025-12-01,C0070,FALSE,P025,Potato Chips 90g,Snacks,Lays,20,4,80,0,80,Cash,EMP03
LI000019,TXN10004,2025-12-01,C0070,FALSE,P014,Sambar Powder 200g,Spices,MTR,62,1,62,0,62,Card,EMP02
LI000020,TXN10004,2025-12-01,C0070,FALSE,P005,Chana Dal 1kg,Staples,Local,98,1,98,0,98,UPI,EMP02
LI000021,TXN10005,2025-12-01,C0117,FALSE,P002,Toor Dal 1kg,Staples,24 Mantra,145,1,145,0,145,Cash,EMP02
LI000022,TXN10005,2025-12-01,C0117,FALSE,P031,Soap Bar 100g,Personal Care,Lifebuoy,38,2,76,0,76,Cash,EMP03
LI000023,TXN10005,2025-12-01,C0117,FALSE,P035,Dish Wash Bar 200g,Household,Vim,32,1,32,0,32,UPI,EMP04
